,primary_title,runtime_minutes,genres_x,release_date,production_budget,domestic_gross,worldwide_gross,total_profit,content_rating,directors,actors
10,Gravity,91.0,"Drama,Sci-Fi,Thriller","Oct 4, 2013",110000000,274092705,693698673,583698673,PG-13,Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris, Amy Warren, Orto Ignatiussen, Phaldut Sharma, Basher Savage"
11,The Martian,144.0,"Adventure,Drama,Sci-Fi","Oct 2, 2015",108000000,228433663,655271443,547271443,PG-13,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels, Michael Peña, Kate Mara, Sean Bean, Sebastian Stan, Aksel Hennie, Donald Glover, Mackenzie Davis, Chiwetel Ejiofor, Nick Mohammed, Shu Chen (II), Eddy Ko, Enzo Cilenti, Jonathan Aris, Gruffudd Glyn, Naomi Scott, Geoffrey Thomas, Benedict Wong, Narantsogt Tsogtsaikhan, Brian Caspe, Matt Devere, Szonja Oroszlán, Greg Decuir, Jr., Mark O'Neal, Peter Linka, Declan Hannigan, Peter Schueller, Waleska Latorre, Frederik Pleitgen, Nikolett Barabas, Karen Gagnon, Lili Bordán, Charlie Gardner, Nora Horich, Kamilla Fátyol, Xue Xuxing, Richard B. Rifkin, Yang Liu, Ben O'Brien, Balazas Medveczky, Scott Alexander Young, Yang Haiwen, Nicholas Wittman"
12,Fifty Shades of Grey,125.0,"Drama,Romance,Thriller","Feb 13, 2015",40000000,166167230,570998101,530998101,R,Sam Taylor-Johnson,"Jamie Dornan, Dakota Johnson, Jennifer Ehle, Luke Grimes, Marcia Gay Harden, Max Martini, Eloise Mumford, Dylan Neal, Rita Ora, Victor Rasuk, Callum Keith Rennie, Andrew Airlie, Elliat Albrecht, Rachel Skarsten, Emily Fonda, Anthony Konechny, Bruce Dawson, Tom Butler, Christine Willes, Chris Shields, Anna Louise Sargeant, Megan Danso, Jason Cermak, Brent McLaren, Steven Cree Molison, Elise Gatien, Reese Alexander, David Orth, Julia Dominczak, Elizabeth Chodar"
13,Interstellar,169.0,"Adventure,Drama,Sci-Fi","Nov 5, 2014",165000000,188017894,666379375,501379375,PG-13,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, Casey Affleck, Topher Grace, Ellen Burstyn, Wes Bentley, Mackenzie Foy, Matt Damon, Timothée Chalamet, John Lithgow, David Gyasi, Josh Stewart, Elyes Gabel, Collette Wolfe, Leah Cairns, David Oyelowo, William Devane, Jeff Hephner, Lena Georgas, Liam Dickinson, Mark Casimir Dyniewicz, Kristian VanderHeyden, Francis X. McCarthy, Marlon Sanders, Alexander Michael Helisek, Andrew Borba, Benjamin Hardy, Bill Irwin"
14,Life of Pi,127.0,"Adventure,Drama,Fantasy","Nov 21, 2012",120000000,124987022,620912003,500912003,PG,Ang Lee,"Suraj Sharma, Irrfan Khan, Tabu, Gérard Depardieu, Adil Hussain, Ayush Tandon, Rafe Spall, Bombay Jayashri"
15,American Sniper,133.0,"Action,Biography,Drama","Dec 25, 2014",58000000,350126372,547326372,489326372,R,Clint Eastwood,"Bradley Cooper, Sienna Miller, Luke Grimes, Kyle Gallner, Ben Reed, Elise Robertson, Luke Sunshine, Troy Vincent, Brandon Salgado Telis, Keir O'Donnell, Marnette Patterson, Jason Hall, Billy Miller, Leonard Roberts, Matthew Jason Walsh, Rey Gallegos, Kevin Lacz, Jake McDorman, Cory Hardrict, Eric Ladin, Brando Eaton, James Ryen, Jonathan Kowalsky, Shane Habberstad, Sammy Sheik, Kevin Ryan, Evan Gamble, Benjamin Mathes, Tim Griffin, Luis Jose Lopez, Brian Hallisay, Erik Aude, Jad Mhidi Senhaji, Navid Negahban, Fehd Benchemsi, Eric Close, Zack Duhame, Mido Hamada, Kathe E. Mazur, Sam Jaeger, Chance Kelly, Ryan Sadaghiani, Ayman Samman, Assaf Cohen, Fahim Fazli, Salah Salea, Hector Bucio, Aidan McGraw, Jonathan Groff, Melissa Hayden, Melissa J. Hayden, Ferguson Reid, Mark Thomason, Pamela Denise Weaver, Amie Farrell, Terry Quay, James Dever, Tami Goveia, Leon Charles Farmer, Paul Meixner, Victoria Reina Sigloch, Joel Lambert, Owain Yeoman, Tony Nevada, Brett Edwards, Nick Salter, Ricky Ryba, Greg Duke, Max Charles, Jet Jurgensmeyer, Madeleine McGraw, Elizabeth Schmidt, Robert Clotworthy, Bryan Anderson, Jacob Schick, Wade White, Anthony Jennings, Vincent Selhorst-Jones, Clint Eastwood, Bruce Berman, Sheroum Kim, Chris Kyle, Andrew Lazar, Robert Lorenz, Jessica Meier, Steven Mnuchin, Tim Moore, Peter Morgan, Kristina Rivera"
16,Logan,94.0,"Comedy,Drama,Family","Mar 3, 2017",127000000,226277068,615461394,488461394,R,James Mangold,"Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merchant, Dafne Keen, Richard E. Grant, Eriq La Salle, Elise Neal, Elizabeth Rodriguez, Quincy Fouse, Al Coronel, Frank Gallegos, Anthony Escobar, Rey Gallegos, Krzysztof Soszynski, Steve Dunlevy, Daniel Bernhardt, Ryan Sturz, Brandon Melendy, Jeremy Fitzgerald, Luke Hawx, Chris Palermo, Paul Andrew O'Connor, Maureen Brennan, Jayson Genao, Hannah Westerfield, Bryant Tardy, Ashlyn Casalegno, Alison Fernandez, Parker Lovein, Jimmy Gonzales, Dave Davis, Lennie Loftin, Mark Ashworth, James Handy, Bryce Romero, Phi Vu, Chester Rushing, David E. Simpson, Lauren Gros, John Raymond, Vanessa Cloke, Doris Morgado, Katie Anne Mitchell, Lara Grice, James Moses Black, Ned Yousef, Michael Lehr, Baxter Humby, Bryan Sloyer, Daniel Hernández, John Bernecker, Evan D. Taylor, Joe Nin Williams, Toby Holguin, Robert Wu, Han Soto, Rissa Kilar, Salef Celiz, Aidan Kennedy, Nayah Murphy, Chase Cubia, Emma Teo, Vincenzo Lucatorto, Noell Jellison, Kelton DuMont, Damon Carney, Cynthia Woods, Mali O'Connor, Robert Vargas, David Paris"
17,La La Land,128.0,"Comedy,Drama,Music","Dec 9, 2016",20000000,151101803,426351163,406351163,PG-13,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, J.K. Simmons, Rosemarie DeWitt, Finn Wittrock, Callie Hernandez, Sonoya Mizuno, Jessica Rothe, Tom Everett Scott, Josh Pence, Amiée Conn, Terry Walters, Claudine Claudio, Thom Shelton, Jason Fuchs, Cinda Adams, Olivia Hamilton, Anna Chazelle, D.A. Wallach, Damon Gupton, Christopher Michael Stevens, R. Keith Harris, Kaveh Rastegar, David Douglas, Nicole Coulon, Miles Anderson, John Hindman, Valarie Rae Miller, Zoe Hall, Shaylah J. Stevens, Natalie Imani, Briana Lee, Bobo Chang, Robert Haynes, Nicole Wolf, Corrin Evans, Camryn Ray Cavaliero, Eddie Clifton, Cal Bennett, Nerda Wheeler, Javier González, Khirye Tyler, Arthur Horowitz"
18,Iron Man,84.0,"Comedy,Drama,Family","May 2, 2008",186000000,318604126,585171547,399171547,PG-13,,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb, Shaun Toub, Faran Tahir, Clark Gregg, Bill Smitrovich, Sayed Badreya, Peter Billingsley"
19,The Bodyguard,99.0,Drama,"Nov 25, 1992",25000000,121945720,410899039,385899039,R,Mick Jackson,"Kevin Costner, Whitney Houston, Gary Kemp, Bill Cobbs, Ralph Waite, Tomas Arana, Michele Lamar Richards, Mike Starr, Christopher Birt, DeVaughn Walter Nixon, Gerry Bamman, Joe Urla, Joseph C. Hess, Tony Pierce, Charles Keating, Robert Wuhl, Debbie Reynolds, Dan Kamin, Ethel Ayler, Sean Cheesman, Richard Schiff, Chris Connelly, Nathaniel Parker, Bert Remsen, Donald Hotton, Nita Whitaker, Patricia Healy, Blumen Young, Rob Sullivan, jennifer lyon-buchanan, Stephen Shellen, Victoria Bass, Abbey Vine, Phil Redrow, Christopher Connelly, Joe Hess, Marta Velasco, Joe Unger, Gwen Seliger, Susan Traylor, Pat Van Patten, Shelley Hill, Amy Lou Dempsey, Rosie Lee Hooks, Ken Myles, Charles Bazaldua, Tracye Logan, Douglas Price, Ellin La Var, Joseph Zabrosky, Rollin Jarrett, David M. Morano, Carla Lizzette Mejia, Linda Thompson, David Foster, Towanna King"
20,Rise of the Planet of the Apes,105.0,"Action,Drama,Sci-Fi","Aug 5, 2011",93000000,176760185,470986200,377986200,PG-13,Rupert Wyatt,"James Franco, Freida Pinto, Andy Serkis, John Lithgow, Brian Cox, Tom Felton, David Oyelowo, Karin Konoval, Terry Notary, Richard Ridings, Chris Gordon, Devyn Dalton, Jay Caputo, Tyler Labine, Jamie Harris, David Hewlett, Ty Olsson, Madison Bell, Makena Joy, Kevin O'Grady, Sean Tyson, Jack Kuris, Tammy Hui, Kyle Riefsnyder, Anthony McRae, Rufus Dorsey, Jeb Beach, Jesse Reid, B.J. Harrison, Leah Gibson, Tracy Spiridakos, Ivan Wanis Ruiz, Trevor Carroll, Chelah Horsdal, Timothy Webber, James Pizzinato, Robin Nielsen, Monica Mustelier, Syn Narula, Mattie Hawkinson, Ryan Booth, Gordon Douglas Myren, Elizabeth Weinstein, Meredith Canby, Javier Caballero Cano, Peter Bundic, Dylan Nouri, Oona Service, Camille Atebe, Temura Derek Morrison, Dean Redman, Hector Johnson, David Richmond-Peck, Adrian Hough, Natalie Johnson, Joey Roche, Sean Roche, Qayam Devji, Yurij Kis, Riel Hahn, Sonja Bennett, Michael Kopsa, Steve Lawlor, Chris Shields, Sandy Robson, Panou, Luc Roderique, Mike Dopud, Mark Henriques, Stacey Schmidt, Matteo Mazziotti, Willy Miles, Fred North, Juliette Goodrich, Allen Martin Jr."
21,Brave,,Drama,"Jun 22, 2012",185000000,237282182,554606532,369606532,PG,"Brenda Chapman, Mark Andrews","Kelly Macdonald, Julie Walters, Kevin Mckidd, Craig Ferguson, Robbie Coltrane, Emma Thompson, Billy Connolly"
22,Django Unchained,165.0,"Drama,Western","Dec 25, 2012",100000000,162805434,449948323,349948323,R,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Samuel L. Jackson, Walton Goggins, Kerry Washington, Dennis Christopher, Laura Cayouette, M.C. Gainey, Don Johnson, Todd Allen, Misty Upham, James Remar, James Russo, Tom Wopat, Jonah Hill, David Steen, Dana Gourrier, Nichole Galicia, Bruce Dern, Franco Nero, Don Stroud, Russ Tamblyn, Amber Tamblyn, Cooper Huckabee, Doc Duhame, Lee Horsley, Ato Essandoh, Sammi Rotibi, Clay Donahue Fontenot, Escalante Lundy, Miriam F. Glover, Zoe Bell, Michael Bowen, Robert Carradine, Jake Garber, Ted Neeley, James Parks, Tom Savini, Michael Parks, John Jarratt, Quentin Tarantino, Elisa"
23,Dunkirk,106.0,"Action,Drama,History","Jul 21, 2017",150000000,190068280,499837368,349837368,PG-13,Christopher Nolan,"Fionn Whitehead, Tom Glynn-Carney, Jack Lowden, Harry Styles, Aneurin Barnard, James D'Arcy, Barry Keoghan, Kenneth Branagh, Cillian Murphy, Mark Rylance, Tom Hardy"
24,San Andreas,114.0,"Action,Adventure,Drama","May 29, 2015",110000000,155190832,456258539,346258539,PG-13,Brad Peyton,"Dwayne Johnson, Carla Gugino, Alexandra Daddario, Paul Giamatti, Ioan Gruffudd, Archie Panjabi, Hugo Johnstone-Burt, Art Parkinson, Kylie Minogue, Hugo JohnstoneBurt, Will Yun Lee, Colton Haynes, Todd Williams, Matt Gerald, Alec Utgoff, Marissa Neitling, Morgan Griffin, Breanne Hill, Laurence Coy, Fiona Press, Dennis Coard, Ben McIvor, Nick Allen-Ducat, Nick Allen, Sophia Emberson-Bain, Claire Lovering, Sophia Emberson, Julian Shaw, Sofie Formica, Hugh Francis, Brad McMurray, John Brently Reynolds, Simone Kessell, Saskia Williscroft, Arabella Morton, Hayley Sullivan, Renee Somerfield, Joey D. Vieira, Ben Blankenship, Barry Southgate, Nikki Greene, Calum Grant, Eduardo Ambriz DeColosio, Michael J. Asberry, Teirrah McNair, Michael Yamaguchi, Georgia Lockhart-Adams, Joey Vieira, Nikki Green"
25,Cast Away,90.0,"Adventure,Drama","Dec 22, 2000",85000000,233632142,427230516,342230516,PG-13,Robert Zemeckis,"Tom Hanks, Helen Hunt, Nick Searcy, Lari White, Geoffrey Blake, Jenifer Lewis, David Allen Brooks, Semion Suradikov, Nan Martin, Peter von Berg, Dmitri S. Boudrine, Leonid Citer, Anne Bellamy, Chris Noth, Dennis Letts, Wendy Worthington, Skye McKenzie, Valerie Wildman, John Duerler, Steve Monroe, Ashley Trefger, Lindsey Trefger, Alyssa Gainer, Kaitlyn Gainer, Lauren Gainer, Albert Pugliese, Gergory Pugliese, Brandon Reinhart, Matthew Reinhart, Lisa Long, Lauren Birkell, Elden Henson, Tim Stack, Alice Vaughn, Chase Mackenzie Bebak, Gage Bebak, Amanda Cagney, Andrea Cagney, Fred Semmer, Peter Semmer, Joe Conley, Aaron Rapke, Vin Martin, Garret Davis, Jay Acovone, Christopher Kriesa, Fred Smith, Michelle Robinson, Tommy Cresswell, Rich Sickler, Derick Alexander, François Duhamel, Michael Forest, Viveka Davis, Yelena Papovic, Valentina Ananyina, Jennifer Choe, Paul Sanchez"
26,War for the Planet of the Apes,140.0,"Action,Adventure,Drama","Jul 14, 2017",152000000,146880162,489592267,337592267,PG-13,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Toby Kebbell, Gabriel Chavarria, Judy Greer, Karin Konoval, Terry Notary, Michael D. Adamthwaite, Ty Olsson, Devyn Dalton, Sara Canning, Aleks Paunovic, Amiah Miller, Allesandro Juliani, Max Lloyd-Jones, Timothy Webber, Lauro Chartrand, Shaun Omaid, Roger R. Cross, Mercedes delaZerda, Mercedes De La Zerda, Doug Chapman, James Pizzinato, Chad Rook, Dean Redman, Steve Baran, Sandy Robson, Levi Meaden, Billy Wickman, Albert Nicholas, Kyle Horton, Paul Luongo, Thomas J. Potter, Mathew Yanagiya, Skye Notary, Willow Notary, Finn Notary, Phoenix Notary, Sadie Aperlo, Matilda Aperlo, Andrew Alexander Reeves"
27,Fifty Shades Darker,118.0,"Drama,Romance","Feb 10, 2017",55000000,114434010,381398492,326398492,R,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Rita Ora, Luke Grimes, Dylan Neal, Victor Rasuk, Eloise Mumford, Bella Heathcote, Max Martini, Kim Basinger, Marcia Gay Harden, Bruce Altman, Andrew Airlie, Robinne Lee, Amy Price-Francis, Fay Masterson, Ryker Brown, Logan Brown, John Callander, Carmen Dollard, Ellen Ewusie, Elizabeth McLaughlin, Albert Nicholas, Stephan Miers, Michael Meneer, Michael St. John Smith, Derek Green, Michelle Harrison, Mark DeCarlo, Bill Dow, Ashleigh LaThrop, Stephanie Florian, Julia Dominczak, Shiraine Haas, Colin Lawrence, Lucia Walters, Brooke Johnston, Paniz Zade, Carmel Amit, Isaiah Dobbs, Gala Crooner, Jose James, Otis Brown, Josh Hari, Rob Compton, Neezar Joseph Elferzeli, Ryan Mellors, Chris Murdoch, Gary Hudson"
28,Ice Age,106.0,"Crime,Drama,Family","Mar 15, 2002",65000000,176387405,386116343,321116343,PG,"Chris Wedge, Carlos Saldanha","Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic, Jack Black, Cedric the Entertainer, Stephen Root, Diedrich Bader, Tara Strong, Alan Tudyk, Lorri Bagley, Jane Krakowski, Peter Ackerman, P.J. Benjamin, Josh Hamilton, Chris Wedge, Denny Dillon, Mitzi McCall"
29,Black Swan,108.0,"Drama,Thriller","Dec 3, 2010",13000000,106954678,331266710,318266710,R,Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey, Winona Ryder, Benjamin Millepied, Ksenia Solo, Kristina Anapau, Janet Montgomery, Sebastian Stan, Toby Hemingway, Sergio Torrado, Mark Margolis, Tina Sloan, Abe Aronofsky, Charlotte Aronofsky, Marcia Jean Kurtz, Shaun P. O'Hagan, Christopher Gartin, Deborah Offner, Stanley B. Herman, Michelle Rodriguez Nouel, Kurt Froman, Marty Krzywonos, Leslie Lyles, John Epperson, Arkadiy Figlin, Timothy Fain, Sarah Lane, Liam Flaherty, Patrick Heusinger"
30,Fifty Shades Freed,105.0,"Drama,Romance,Thriller","Feb 9, 2018",55000000,100407760,371350619,316350619,R,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Rita Ora, Luke Grimes, Victor Rasuk, Jennifer Ehle, Eloise Mumford, Max Martini, Callum Keith Rennie, Bruce Altman, Arielle Kebbel, Robinne Lee, Brant Daugherty, Marcia Gay Harden, Kim Basinger, Amy Price-Francis, Fay Masterson, Ashleigh LaThrop, Tyler Hoechlin"
31,Hitch,70.0,Drama,"Feb 11, 2005",55000000,177784257,366784257,311784257,PG-13,"Andrew Tennant, Andy Tennant","Will Smith, Eva Mendes, Kevin James, Amber Valletta, Julie Ann Emery, Robinne Lee, Nathan Lee Graham, Adam Arkin, Michael Rapaport, Jeffrey Donovan, Paula Patton, Philip Bosco, Kevin Sussman, Navia Nguyen, Matt Malloy, Lisa Thayer, Ato Essandoh, Nayokah Afflack, Jack Hartnett, David Wilke, Frederick B. Owens, Jenna Stern, Mimi Weddell, Maulik Pancholy, Mercedes Renard, Austin Lysy, Ryan Cross, Tobias Truvillion, Jeffrey Carlson, Henry Binje, Rain Phoenix, Remy Selma"
32,The Karate Kid,140.0,"Action,Drama,Family","Jun 11, 2010",40000000,176591618,351774938,311774938,PG,John G. Avildsen,"Ralph Macchio, Noriyuki 'Pat' Morita, Elisabeth Shue, Martin Kove, Randee Heller, William Zabka, Ron Thomas, Rob Garrison, Dana Anderson, Chad McQueen, Brian Davies, Tony O'Dell, Israel Juarbe, William H. Bassett, Larry B. Scott, Juli Fields, Dana Andersen, Frank Burt Avalon, Jeff Fishman, Ken Daly, Tom Fridley, Pat E. Johnson, Bruce Malmuth, Darryl Vidal, Frances Bay, Christopher Kriesa, Bernie Kuby, Joan Lemmo, Helen Siff, Molly Basler, Larry Drake, Brian Davis, David DeLange, Erik Felix, Peter Jason, Todd Lookinland, Clarence McGee Jr., Sam Scarber, William Norren, Scott Strader"
33,The Karate Kid,140.0,"Action,Drama,Family","Jun 11, 2010",40000000,176591618,351774938,311774938,PG,"Harald Zwart, John G. Avildsen","Jaden Smith, Jackie Chan, Taraji P. Henson, Zhenwei Wang, Han Wenwen, Rongguang Yu, Zhensu Wu, Zhiheng Wang, Shijia Lü, Yi Zhao, Jared Minns, Bo Zhang, Luke Carberry, Cameron Hillman, Ghye Samuel Brown, Rocky Shi, Wang Ji, Harry Van Gorkum, Tess Liu, Xinha Guo, Jijun Zhai, Shun Li, Yanyan Wu, Tao Ji, Chen Jing, Wentai Liu, Geliang Liang, Xu Ming"
34,Gone Girl,149.0,"Drama,Mystery,Thriller","Oct 3, 2014",61000000,167767189,368567189,307567189,R,David Fincher,"Ben Affleck, Rosamund Pike, Tyler Perry, Neil Patrick Harris, David Clennon, Carrie Coon, Scoot McNairy, Kim Dickens, Lisa Banes, Missi Pyle, Emily Ratajkowski, Casey Wilson, Lola Kirke, Boyd Holbrook, Sela Ward, Lee Norris, Jamie McShane, Leonard Kelly-Young, Kathleen Rose Perkins, RL Pete Housman, Lynn Adrianna, Mark Atteberry, Darin Cooper, Kate Campbell, Brett Leigh, Antonio St. James, Lauren Glazier, Julia Prud'homme, Cooper Thornton, Casey Ruggieri, Cyd Strittmatter, Ashley Didion, Lexis Nutt, L.A. Williams, Blake Sheldon, Sean Guse, Ricky Wood, Fred Cross, Scott Takeda, Donna Rusch, Kathy Sweeney-Meadows, Mark T. Anderson, Patrick Fugit"
35,Tarzan,94.0,"Adventure,Animation,Drama","Jun 16, 1999",145000000,171091819,448191819,303191819,G,"Chris Buck, Kevin Lima","Tony Goldwyn, Glenn Close, Minnie Driver, Rosie O'Donnell, Lance Henriksen, Brian Blessed, Wayne Knight, Nigel Hawthorne, Alex D. Linz, Taylor Dempsey"
36,Tarzan,94.0,"Adventure,Animation,Drama","Jun 16, 1999",145000000,171091819,448191819,303191819,PG,Reinhard Klooss,"Kellan Lutz, Spencer Locke, Anton Zetterholm, Mark Deklin, Les Bubb, Robert Capron, Jaime Ray Newman"
37,The Greatest Showman,105.0,"Biography,Drama,Musical","Dec 20, 2017",84000000,174340174,386665550,302665550,PG,,"Hugh Jackman, Zac Efron, Rebecca Ferguson, Zendaya, Paul Sparks, Gayle Rankin, Tina Benko, Fredric Lehne, Keala Settle, Austyn Johnson, Sam Humphrey, Cameron Seely, Yahya Abdul-Mateen II, Eric Chase Anderson, Ellis Rubin, Skylar Dunn, Daniel Everidge, Radu Spinghel, Yusaku Komori, Danial Son, Will Swenson, Linda Larson, Byron Jennings, Betsy Aidem, Damian Young, Kathryn Meisle, Timothy Hughes, Arnie Burton, Carly Adams, Sawyer Niehaus, Shuler Hensley, Will Erat, James Andrew O'Connor, Jamie Jackson, Morgan Weed, Henry Stram, Michael Barra, Natasha Liu Bordizzo, Luciano Acuna Jr., Shannon Freyer, Kevin Dwane, Sandi DeGeorge, Tony Neil Butler, Frances Emily Schramm, Kenneth Chan, Stacey Alyse Cohen, Tim Wilson, Jonathon Culver, Jillian Braithwaite, Adam Haas Hunter, Bob Rumnock, Ben Reed, Martha Nichols, Jonathan Redavid, Shannon Holtzapffel, Jeremy Craig Hudson, Taylor James, Chelsea Caso, Caoife Coleman, Mishay Petronelli, Khasan Brailsford, Alex Wong, Julius Rubio, Vincent-Oliver Noiseux, Sunny Walters, Jessica Castro, Najla Gilliam, Christina Glur, Emerson Tate Alexander, Victoria Llodra, Louise Hindsbro, Laci Justice, GiaNina Paolantonio, Rachel Quiner, Madison Smith, Brando Speach, Daniel 'Cloud' Campos, Rod Roberts"
38,Green Book,130.0,"Biography,Comedy,Drama","Nov 16, 2018",23000000,85080171,322034439,299034439,PG-13,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Don Stark, Sebastian Maniscalco, Dimiter D. Marinov, Mike Hatton, P.J. Byrne, Joe Cortese, Von Lewis, Brian Stepanek, Geraldine Singer, Iqbal Theba, David Kallaway, Tom Virtue, Paul Sloan"
